Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
4;2.89E4;0.00E0;1.02E-6;5.00E-5;0.00E0;0.00E0;4;0;-7650.61303622857;10109.6011317325;0;116.643160589971;152;110.580581130694
11;3.46E4;0.00E0;1.06E-6;5.00E-5;0.00E0;0.00E0;4;0;-4754.99643463309;10471.7318324912;0;242.067256825425;171;63.8621724544387
16;6.30E4;0.00E0;2.33E-6;5.00E-5;0.00E0;0.00E0;4;0;-10502.1295901164;6216.91353721035;0;150.304956591199;129;187.420748727645
20;2.84E4;0.00E0;5.72E-7;5.00E-5;0.00E0;0.00E0;4;0;-5491.60664127463;6446.95005414687;0;63.1660888430531;186;201.027813968254
42;3.57E4;0.00E0;2.14E-6;5.00E-5;0.00E0;0.00E0;4;0;-5770.94055012838;4237.57545169524;0;65.4343337270808;91;243.65828318887
55;3.09E4;0.00E0;1.77E-6;5.00E-5;0.00E0;0.00E0;4;0;-6449.20861278431;6047.0163068069;0;173.776954614473;182;79.5601431065129
59;5.60E4;0.00E0;9.34E-7;5.00E-5;0.00E0;0.00E0;4;0;-6046.57722899897;5133.62599371829;0;315.972097861635;177;79.2014744110375
64;8.62E4;0.00E0;2.99E-6;5.00E-5;0.00E0;0.00E0;4;0;-10663.629682305;5500.51166448028;0;623.861201612683;126;61.7675321953477
68;2.31E4;0.00E0;2.55E-6;5.00E-5;0.00E0;0.00E0;4;0;-4741.19894391627;3333.61089225289;0;92.2989439162748;80;111.930949955355
83;3.25E4;0.00E0;1.47E-6;5.00E-5;0.00E0;0.00E0;4;0;-7151.00238046277;4152.16183430903;0;223.085352031054;101;65.0297612803977
91;3.03E4;0.00E0;7.55E-7;5.00E-5;0.00E0;0.00E0;4;0;-7560.02646278306;10066.2373500887;0;191.857640184153;152;70.5742035029815
92;3.34E4;0.00E0;2.56E-6;5.00E-5;0.00E0;0.00E0;4;0;-9681.14386203467;9325.68598123167;0;36.9318955181929;139;404.75634804997
110;7.47E4;0.00E0;1.67E-6;5.00E-5;0.00E0;0.00E0;4;0;-5775.6232707526;3849.74424530934;0;315.377871351329;90;105.857589404931
120;3.59E4;0.00E0;1.75E-6;5.00E-5;0.00E0;0.00E0;4;0;-10067.8111399886;8222.20346889755;0;244.967590777744;135;65.472115346674
136;8.77E4;0.00E0;2.11E-6;5.00E-5;0.00E0;0.00E0;4;0;-6674.0835422985;5385.90244891777;0;319.612009567684;179;122.717833017762
158;3.69E4;0.00E0;1.40E-6;5.00E-5;0.00E0;0.00E0;4;0;-4050.80129727007;2147.54693885041;0;208.197075227639;39;79.1352558920006
164;6.68E4;0.00E0;6.40E-7;5.00E-5;0.00E0;0.00E0;4;0;-8670.33908552686;10207.5229224785;0;414.469291181964;147;72.1003454636489
183;4.58E4;0.00E0;9.31E-7;5.00E-5;0.00E0;0.00E0;4;0;-7099.17443463255;4117.76514658328;0;261.02327836748;101;78.4256991659703
184;4.21E4;0.00E0;1.15E-6;5.00E-5;0.00E0;0.00E0;4;0;-6311.25680802815;4495.04645089861;0;91.2347662107445;94;206.123812124349
186;2.72E4;0.00E0;5.40E-6;5.00E-5;0.00E0;0.00E0;4;0;-4838.44119753703;2950.24400470238;0;193.355669257959;78;62.9092992485788
209;9.00E4;0.00E0;4.82E-6;5.00E-5;0.00E0;0.00E0;4;0;-10296.3259862113;6663.59700406797;0;204.841157941737;130;196.477349160375
214;4.02E4;0.00E0;3.38E-6;5.00E-5;0.00E0;0.00E0;4;0;-6796.48785333818;10452.7832718459;0;255.670450126137;158;70.3690686066928
225;3.17E4;0.00E0;4.27E-6;5.00E-5;0.00E0;0.00E0;4;0;-7088.54241900072;4349.31002893088;0;38.4488027963717;101;368.290687626403
237;4.01E4;0.00E0;1.24E-6;5.00E-5;0.00E0;0.00E0;4;0;-6261.52383383522;4776.60727064906;0;99.4800824366347;95;180.044745548518
251;5.86E4;0.00E0;3.86E-6;5.00E-5;0.00E0;0.00E0;4;0;-7625.80952779189;5164.58716176299;0;404.808675912983;107;64.6738937087059
258;3.59E4;0.00E0;2.61E-6;5.00E-5;0.00E0;0.00E0;4;0;-10617.4465212688;6342.77057246907;0;135.482526500047;175;118.437285627967
266;3.96E4;0.00E0;1.35E-6;5.00E-5;0.00E0;0.00E0;4;0;-6066.49247656221;4186.49713303459;0;65.7955464841014;92;268.903069908215
269;2.37E4;0.00E0;2.77E-6;5.00E-5;0.00E0;0.00E0;4;0;-4593.42186156441;3123.4785155792;0;61.9535908807486;79;170.927551212757
281;7.03E4;0.00E0;1.79E-6;5.00E-5;0.00E0;0.00E0;4;0;-8354.12181227281;5195.8379912069;0;425.80444937873;111;73.763408128557
282;6.01E4;0.00E0;3.33E-6;5.00E-5;0.00E0;0.00E0;4;0;-6145.14693869791;4750.85438198271;0;196.344708526143;95;136.785274980558
293;1.30E5;0.00E0;8.22E-7;5.00E-5;0.00E0;0.00E0;4;0;-10242.2266712208;7559.80870097036;0;226.53855935608;133;257.230741260624
299;3.86E4;0.00E0;2.39E-6;5.00E-5;0.00E0;0.00E0;4;0;-7497.23356432612;4772.30721139184;0;64.6419690430394;106;266.844107632574
303;1.57E4;0.00E0;4.37E-7;5.00E-5;0.00E0;0.00E0;4;0;-5026.97953355166;10591.5005533135;0;30.6120246279152;172;229.068046301148
309;4.64E4;0.00E0;5.57E-6;5.00E-5;0.00E0;0.00E0;4;0;-9986.03028205591;8697.41930489595;0;128.146986229676;136;161.946169946448
313;6.66E4;0.00E0;1.68E-6;5.00E-5;0.00E0;0.00E0;4;0;-10758.1558858417;7721.67415949694;0;307.299027225546;133;96.9077978580426
319;5.80E4;0.00E0;1.70E-6;5.00E-5;0.00E0;0.00E0;4;0;-5704.01430195844;6139.58047048828;0;157.431036717422;185;164.83548237435
329;3.00E4;0.00E0;1.49E-6;5.00E-5;0.00E0;0.00E0;4;0;-6513.50233526499;10780.1003728454;0;48.5812096277589;161;276.315637997542
332;7.39E4;0.00E0;4.45E-6;5.00E-5;0.00E0;0.00E0;4;0;-9855.2893463807;5294.66012127456;0;73.7254078181248;123;448.26303782932
338;5.79E4;0.00E0;2.51E-6;5.00E-5;0.00E0;0.00E0;4;0;-10199.5959949463;5248.84377227305;0;330.048212131045;123;78.3702141536652
339;3.27E4;0.00E0;7.55E-7;5.00E-5;0.00E0;0.00E0;4;0;-8226.67735452975;10106.5137351633;0;87.961684614455;148;166.425897268906
344;3.60E4;0.00E0;3.15E-6;5.00E-5;0.00E0;0.00E0;4;0;-9947.36592931358;5843.87815367432;0;169.589893926749;126;94.7859412052657
355;6.68E4;0.00E0;1.53E-6;5.00E-5;0.00E0;0.00E0;4;0;-5934.40221080756;5166.51031027113;0;427.267348250813;177;69.8966918435228
363;3.01E4;0.00E0;7.17E-7;5.00E-5;0.00E0;0.00E0;4;0;-6803.23298894665;10558.4529342701;0;154.744717395407;158;87.0959673739721
370;1.65E4;0.00E0;2.54E-7;5.00E-5;0.00E0;0.00E0;4;0;-9720.22671849378;5216.38834768932;0;72.0951932055883;122;102.032293756682
374;5.35E4;0.00E0;1.00E-6;5.00E-5;0.00E0;0.00E0;4;0;-9918.59499328233;6287.1107500993;0;391.525311999962;128;61.1160490329332
381;3.26E4;0.00E0;1.24E-6;5.00E-5;0.00E0;0.00E0;4;0;-7987.27355511726;10280.263434631;0;176.613379261673;150;82.6379010465407
393;5.78E4;0.00E0;7.52E-7;5.00E-5;0.00E0;0.00E0;4;0;-5805.62065810686;3960.44260479445;0;213.575840324593;91;120.939931388698
399;1.08E5;0.00E0;3.29E-6;5.00E-5;0.00E0;0.00E0;4;0;-9811.6669432081;4954.27650067603;0;344.023377725126;121;140.519529918258
407;1.76E4;0.00E0;1.02E-6;5.00E-5;0.00E0;0.00E0;4;0;-9568.59769046235;5277.40878510455;0;57.5170927587757;121;137.034573156113
410;7.50E4;0.00E0;2.18E-6;5.00E-5;0.00E0;0.00E0;4;0;-5656.55645752066;11327.3173964925;0;459.52817732787;166;72.9531641580201
412;9.16E4;0.00E0;3.21E-6;5.00E-5;0.00E0;0.00E0;4;0;-6291.3235638706;4308.46104868344;0;186.333549809728;93;219.680528060043
417;8.58E4;0.00E0;1.59E-6;5.00E-5;0.00E0;0.00E0;4;0;-8362.45139803939;9418.08203364082;0;383.803560225781;145;99.9406191048143
427;5.60E4;0.00E0;2.09E-6;5.00E-5;0.00E0;0.00E0;4;0;-6848.15922578332;4067.94182189559;0;371.872192296008;100;67.3131362086413
436;9.76E4;0.00E0;8.69E-6;5.00E-5;0.00E0;0.00E0;4;0;-6787.50135796581;10661.3913487669;0;64.7717155811741;159;673.603383661897
458;4.06E4;0.00E0;1.32E-6;5.00E-5;0.00E0;0.00E0;4;0;-5421.65727047786;11102.8781987089;0;219.267365671232;167;82.7704071572677
462;8.66E4;0.00E0;4.91E-6;5.00E-5;0.00E0;0.00E0;4;0;-5717.06508850443;6915.13051183675;0;505.077611200359;186;76.6186666029519
465;2.13E4;0.00E0;7.50E-7;5.00E-5;0.00E0;0.00E0;4;0;-9854.65364758508;5411.81535329575;0;27.8375288368049;123;341.308270293136
468;2.34E4;0.00E0;6.85E-7;5.00E-5;0.00E0;0.00E0;4;0;-10460.3798162352;6838.73460663152;0;105.175056703273;130;99.6247413327688
484;8.50E4;0.00E0;2.76E-6;5.00E-5;0.00E0;0.00E0;4;0;-7469.14712438873;4844.93714024084;0;142.260316836152;106;267.04719112486
492;2.16E4;0.00E0;1.84E-6;5.00E-5;0.00E0;0.00E0;4;0;-10730.7623901482;6404.50310174407;0;152.484008095445;175;63.2455118338122
500;5.07E4;0.00E0;3.00E-6;5.00E-5;0.00E0;0.00E0;4;0;-10286.4862163832;8021.06617978738;0;85.0114708090311;134;266.862485965191
503;4.36E4;0.00E0;3.88E-6;5.00E-5;0.00E0;0.00E0;4;0;-8693.46555705524;9605.18652282811;0;96.1274388198675;144;202.821902342675
511;6.32E4;0.00E0;2.93E-6;5.00E-5;0.00E0;0.00E0;4;0;-3639.01307220798;2599.23603462307;0;70.4192878113896;41;400.933809962648
525;1.40E5;0.00E0;2.37E-6;5.00E-5;0.00E0;0.00E0;4;0;-10967.3264769489;7806.29316539618;0;526.460310397983;133;119.172944056414
530;5.71E4;0.00E0;1.97E-6;5.00E-5;0.00E0;0.00E0;4;0;-5326.91010373122;6564.79173274848;0;260.528308633965;186;98.0103474985201
551;3.48E4;0.00E0;1.31E-6;5.00E-5;0.00E0;0.00E0;4;0;-6304.5584349271;4805.73839380122;0;62.1902165656979;176;250.046605311521
572;5.98E4;0.00E0;1.34E-6;5.00E-5;0.00E0;0.00E0;4;0;-9979.79756329659;6347.77286791798;0;368.395346657186;128;72.5591853340783
574;1.75E4;0.00E0;8.69E-7;5.00E-5;0.00E0;0.00E0;4;0;-8208.74918947304;4695.19037177104;0;95.0239194735723;111;82.3468395845444
