Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
12;1.37E5;0.00E0;1.59E-6;5.00E-5;0.00E0;0.00E0;4;0;-7591.11149837079;-3147.84333039223;0;327.743874708694;269;187.228010749403
18;2.54E4;0.00E0;1.19E-6;5.00E-5;0.00E0;0.00E0;4;0;-6725.08392036428;-3238.93701397361;0;69.5490143629567;297;163.244711773947
25;3.43E4;0.00E0;1.74E-6;5.00E-5;0.00E0;0.00E0;4;0;-7066.90108859997;-3332.11588190377;0;224.981830684905;296;68.0671645422456
37;3.37E4;0.00E0;1.03E-6;5.00E-5;0.00E0;0.00E0;4;0;-8599.94961316459;-4205.79696908925;0;184.413758122946;276;81.6750194929653
42;8.03E4;0.00E0;5.08E-6;5.00E-5;0.00E0;0.00E0;4;0;-3000.3743095255;140.864061759568;0;150.501024333864;308;238.552746870815
49;4.60E4;0.00E0;2.34E-6;5.00E-5;0.00E0;0.00E0;4;0;-9484.40625166955;2429.3976706453;0;161.090657761816;116;127.740271218774
52;2.27E4;0.00E0;1.14E-6;5.00E-5;0.00E0;0.00E0;4;0;-4688.0052837487;-242.612062938484;0;109.895177118774;251;92.2064527615058
54;1.09E5;0.00E0;4.48E-6;5.00E-5;0.00E0;0.00E0;4;0;-10789.9095720448;1872.63629058809;0;397.92082002362;131;122.811345518326
68;5.51E4;0.00E0;1.93E-6;5.00E-5;0.00E0;0.00E0;4;0;-9487.02666957721;1857.95325343992;0;335.89267148591;115;73.2770343080885
82;7.39E4;0.00E0;1.16E-6;5.00E-5;0.00E0;0.00E0;4;0;-8465.18088513059;-898.686859938324;0;461.903132335856;292;71.5586775412012
87;7.87E4;0.00E0;4.05E-6;5.00E-5;0.00E0;0.00E0;4;0;-9372.67092907922;-5066.22630401587;0;441.831091829464;284;79.6264863433453
105;2.60E4;0.00E0;2.45E-6;5.00E-5;0.00E0;0.00E0;4;0;-7790.24091265172;-2288.70873532632;0;115.864836812702;288;100.309512314058
112;7.44E4;0.00E0;4.61E-6;5.00E-5;0.00E0;0.00E0;4;0;-10954.8567192907;2493.95584868762;0;202.741798622268;132;164.079899794883
120;9.66E4;0.00E0;3.87E-6;5.00E-5;0.00E0;0.00E0;4;0;-4281.08005726757;-946.464621425511;0;468.604411633737;313;92.1740907137042
135;7.11E4;0.00E0;5.10E-6;5.00E-5;0.00E0;0.00E0;4;0;-9676.26589400051;1299.92321861935;0;319.472400625197;228;99.4971415628668
136;8.39E4;0.00E0;2.46E-6;5.00E-5;0.00E0;0.00E0;4;0;-3695.91501790837;-214.388229740652;0;311.333027545738;310;120.510973768392
144;6.56E4;0.00E0;3.53E-6;5.00E-5;0.00E0;0.00E0;4;0;-7679.84955809302;-3311.81388365158;0;428.863254247274;269;68.3612376193225
153;5.07E4;0.00E0;1.75E-6;5.00E-5;0.00E0;0.00E0;4;0;-10198.2724951176;-390.631782783178;0;259.01871873268;236;87.5177624194055
154;3.56E4;0.00E0;3.39E-6;5.00E-5;0.00E0;0.00E0;4;0;-9290.88068645485;1959.00944105148;0;218.90514440773;115;72.7528652928073
158;4.61E4;0.00E0;1.29E-6;5.00E-5;0.00E0;0.00E0;4;0;-7663.78140964485;-3173.15724440687;0;315.005173627392;269;65.3687457902212
162;2.25E4;0.00E0;1.22E-6;5.00E-5;0.00E0;0.00E0;4;0;-7498.04844776074;-2896.12490351659;0;148.98470196419;268;67.4382624589639
188;6.15E4;0.00E0;2.40E-6;5.00E-5;0.00E0;0.00E0;4;0;-8062.16492873947;-2448.71098033527;0;431.347874757684;288;63.7776910501135
195;4.21E4;0.00E0;6.96E-7;5.00E-5;0.00E0;0.00E0;4;0;-12164.2477895944;2394.79858462208;0;191.419518255552;136;98.430606338768
199;1.20E5;0.00E0;1.06E-6;5.00E-5;0.00E0;0.00E0;4;0;-9164.47700284627;-2575.25566500546;0;762.545944602344;271;70.1513389612573
214;1.39E4;0.00E0;2.19E-7;5.00E-5;0.00E0;0.00E0;4;0;-8865.73491155899;2187.4319994031;0;35.4217109484421;112;175.83351993298
237;5.27E4;0.00E0;1.20E-6;5.00E-5;0.00E0;0.00E0;4;0;-5803.45871986048;-3858.35588200469;0;169.273040872788;301;139.26438160653
240;2.83E4;0.00E0;1.21E-6;5.00E-5;0.00E0;0.00E0;4;0;-12047.2461726364;1355.06922765064;0;172.998128779125;222;73.0207578339012
252;3.63E4;0.00E0;1.77E-6;5.00E-5;0.00E0;0.00E0;4;0;-5110.98345570542;-977.538686260986;0;261.73545676018;256;62.0129237651562
