Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
6;5.54E+04;0.00E+00;6.93E-07;5.00E-05;0.00E+00;0.00E+00;4;0;-6040.692756;6816.435623;0;240.9859115;126;102.7668122
9;1.06E+05;0.00E+00;2.44E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-2863.691703;2622.67198;0;350.979272;53;134.9646385
14;5.40E+04;0.00E+00;6.04E-06;5.00E-05;0.00E+00;0.00E+00;4;0;2805.531603;3377.915525;0;289.1031263;88;83.53639133
16;3.77E+04;0.00E+00;2.56E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-4895.248884;6438.031284;0;129.0083983;122;130.7363321
18;6.89E+03;0.00E+00;2.13E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-4377.259291;3948.721069;0;39.9108428;62;77.22024829
33;3.74E+04;0.00E+00;3.12E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-5057.609824;4611.970657;0;159.6874111;66;104.8010116
34;8.14E+04;0.00E+00;2.79E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-5542.775892;6464.694774;0;272.4494022;127;133.4895234
46;1.78E+04;0.00E+00;1.86E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-4616.324506;2329.340563;0;79.02739926;70;100.8508317
49;9.46E+04;0.00E+00;3.26E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-455.7878149;6446.517768;0;258.3678781;107;163.607274
51;5.79E+04;0.00E+00;8.76E-07;5.00E-05;0.00E+00;0.00E+00;4;0;-2243.232305;8149.945498;0;320.3351754;25;80.83557027
52;7.65E+04;0.00E+00;1.62E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-632.0354608;5684.614595;0;134.7568672;106;253.7968368
58;1.92E+05;0.00E+00;2.41E-06;5.00E-05;0.00E+00;0.00E+00;4;0;3060.409061;2662.631086;0;937.3421971;88;91.4763316
63;2.64E+04;0.00E+00;1.78E-06;5.00E-05;0.00E+00;0.00E+00;4;0;-4256.282313;2905.108069;0;35.15114863;59;336.0301833
69;2.39E+05;0.00E+00;3.56E-06;5.00E-05;0.00E+00;0.00E+00;4;0;543.3510845;5854.306862;0;704.5299379;33;151.6379009
