Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
1174;3.59E4;0.00E0;3.01E-6;5.00E-5;0.00E0;0.00E0;4;0;10905.7287696619;2252.07995436325;0;244.079385968835;157;65.7127818478323
1788;4.39E4;0.00E0;9.39E-7;5.00E-5;0.00E0;0.00E0;4;0;11733.9410846132;1646.52850050158;0;208.69624607109;468;93.9840287104756
2023;9.48E4;0.00E0;4.61E-6;5.00E-5;0.00E0;0.00E0;4;0;13648.3553319376;2270.49737771325;0;641.45046857804;483;66.0367307467317
2135;2.70E4;0.00E0;3.76E-6;5.00E-5;0.00E0;0.00E0;4;0;11973.1272807193;-187.275670097998;0;135.803399591882;463;89.0222460842206
2372;1.95E5;0.00E0;1.56E-6;5.00E-5;0.00E0;0.00E0;4;0;12327.9789220022;-1131.6144434754;0;1116.41128780972;463;77.9164183533744
2798;9.82E4;0.00E0;1.39E-6;5.00E-5;0.00E0;0.00E0;4;0;13965.1131018542;1423.2909146272;0;577.259901952403;477;76.0754948321674
3178;5.47E4;0.00E0;3.20E-6;5.00E-5;0.00E0;0.00E0;4;0;12075.8097080696;237.272273455679;0;298.046801910823;463;82.1100314309409
3234;2.72E4;0.00E0;2.19E-6;5.00E-5;0.00E0;0.00E0;4;0;12490.9061610011;1982.928862551;0;100.001951788733;474;121.557188087868
3620;4.94E4;0.00E0;1.82E-6;5.00E-5;0.00E0;0.00E0;4;0;12170.9017914768;1929.31376382052;0;95.8639412666378;152;230.211605146151
3633;3.83E4;0.00E0;8.21E-7;5.00E-5;0.00E0;0.00E0;4;0;11120.9382773467;1569.91153866914;0;38.4226983048924;466;446.089493737592
3951;1.24E5;0.00E0;1.81E-6;5.00E-5;0.00E0;0.00E0;4;0;11362.2230530053;861.60770163787;0;554.608487318268;459;100.005155300623
3978;5.19E4;0.00E0;2.36E-6;5.00E-5;0.00E0;0.00E0;4;0;11414.7458433924;303.978292268962;0;131.683763196932;461;176.061829519833
4437;3.68E4;0.00E0;3.56E-6;5.00E-5;0.00E0;0.00E0;4;0;11304.3943206387;300.745801310674;0;90.6989489506019;461;181.432309740954
5116;1.99E4;0.00E0;2.12E-6;5.00E-5;0.00E0;0.00E0;4;0;12326.5950909243;1773.27492058271;0;85.8028888429253;152;103.489291901788
5179;1.57E5;0.00E0;2.36E-6;5.00E-5;0.00E0;0.00E0;4;0;11876.8740981967;2725.7297844702;0;155.442385749025;148;452.714507500947
5217;5.18E4;0.00E0;1.37E-6;5.00E-5;0.00E0;0.00E0;4;0;11105.9965594087;1854.70856245807;0;291.520071548346;467;79.4715592619395
5393;2.65E4;0.00E0;2.21E-7;5.00E-5;0.00E0;0.00E0;4;0;12108.0288091751;1354.98769949263;0;195.840208741247;151;60.5679505925781
5402;2.56E4;0.00E0;1.17E-6;5.00E-5;0.00E0;0.00E0;4;0;11276.5045547345;1691.2638085521;0;63.6766810998898;467;179.538636695213
5953;1.44E5;0.00E0;3.49E-6;5.00E-5;0.00E0;0.00E0;4;0;13979.6579589853;974.393331059709;0;671.205292862081;477;95.8003827625511
6183;6.53E4;0.00E0;2.60E-6;5.00E-5;0.00E0;0.00E0;4;0;11571.7212786824;223.671131561163;0;110.55131736912;462;264.034578889657
6196;7.57E4;0.00E0;4.53E-6;5.00E-5;0.00E0;0.00E0;4;0;12168.7706805328;2649.57609084954;0;289.323174482014;479;116.928652334767
6377;3.85E4;0.00E0;1.75E-6;5.00E-5;0.00E0;0.00E0;4;0;11092.8257240603;1399.33355772445;0;96.0913497805421;466;178.946109571586
6623;8.68E4;0.00E0;1.01E-6;5.00E-5;0.00E0;0.00E0;4;0;12812.1596361988;910.178161527851;0;597.205488927534;476;64.9768987063642
6656;7.91E4;0.00E0;3.97E-6;5.00E-5;0.00E0;0.00E0;4;0;12864.5491975145;1943.55284158426;0;325.728104399382;474;108.499617883624
6784;2.48E4;0.00E0;4.67E-6;5.00E-5;0.00E0;0.00E0;4;0;12167.5734477425;1942.82462233929;0;101.613399420787;152;109.253014641069
6974;4.59E4;0.00E0;2.03E-6;5.00E-5;0.00E0;0.00E0;4;0;12310.1691767469;1254.08061007208;0;300.168333490991;151;68.3762221023724
7004;5.68E4;0.00E0;6.30E-7;5.00E-5;0.00E0;0.00E0;4;0;11377.9128266858;-169.357995674841;0;325.323717283114;462;78.0284597812098
7308;4.97E4;0.00E0;3.75E-6;5.00E-5;0.00E0;0.00E0;4;0;11664.4165688794;2419.19678138093;0;140.396617286558;149;158.247670702527
7749;4.92E4;0.00E0;7.52E-6;5.00E-5;0.00E0;0.00E0;4;0;11043.5572366258;686.507503761486;0;191.344490849996;459;114.850558110996
8172;5.79E4;0.00E0;2.56E-6;5.00E-5;0.00E0;0.00E0;4;0;12106.3817342998;1948.9074253363;0;88.9752020113903;151;291.15674947704
8522;4.89E4;0.00E0;8.27E-7;5.00E-5;0.00E0;0.00E0;4;0;11835.4540444663;1555.31187546015;0;318.075504646912;151;68.6750459059797
9103;8.32E4;0.00E0;5.67E-6;5.00E-5;0.00E0;0.00E0;4;0;11404.1191069411;318.043705486984;0;141.236798196158;461;263.358782262261
9124;8.76E4;0.00E0;6.97E-7;5.00E-5;0.00E0;0.00E0;4;0;10773.7153304718;1705.54099791782;0;328.465052144806;464;119.287625514808
9169;3.34E4;0.00E0;6.57E-6;5.00E-5;0.00E0;0.00E0;4;0;10932.2768789156;2404.15026844094;0;161.253539161443;157;92.6384240176233
9223;4.28E4;0.00E0;3.20E-6;5.00E-5;0.00E0;0.00E0;4;0;12500.2374608706;1463.07451449784;0;274.192400746249;474;69.8636981423706
9347;3.75E4;0.00E0;1.36E-6;5.00E-5;0.00E0;0.00E0;4;0;13287.5582602168;1276.34436896067;0;74.6740238781954;477;224.42849739062
9357;2.73E4;0.00E0;4.11E-6;5.00E-5;0.00E0;0.00E0;4;0;11053.2851756232;596.517152895266;0;151.859654067944;460;80.4905102270438
9513;2.13E4;0.00E0;1.31E-6;5.00E-5;0.00E0;0.00E0;4;0;11861.3686505941;1873.59525276077;0;77.9849563190536;470;122.148987051295
9969;5.68E4;0.00E0;1.56E-6;5.00E-5;0.00E0;0.00E0;4;0;11460.2486698705;2075.96166452931;0;300.228645381434;468;84.5346311759612
