Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
4;4.01E4;0.00E0;2.51E-6;5.00E-5;0.00E0;0.00E0;4;0;2644.91276263464;2090.15459962644;0;206.60212538759;32;86.71727062938
7;3.33E4;0.00E0;1.35E-6;5.00E-5;0.00E0;0.00E0;4;0;9583.65658292693;-3208.3108872551;0;38.9995722943778;136;381.611610499301
10;6.55E4;0.00E0;3.69E-6;5.00E-5;0.00E0;0.00E0;4;0;8663.7260971643;-1778.27776274209;0;365.075170219891;108;80.2194711137658
19;3.17E4;0.00E0;8.49E-7;5.00E-5;0.00E0;0.00E0;4;0;8437.75878280831;-94.393924906286;0;34.8204440069858;104;407.532218618825
21;6.90E4;0.00E0;1.62E-6;5.00E-5;0.00E0;0.00E0;4;0;8279.0162380014;310.820304922026;0;142.85088915397;103;215.80897756981
22;4.91E4;0.00E0;2.83E-6;5.00E-5;0.00E0;0.00E0;4;0;3569.3996056788;907.356505998858;0;343.222741272368;18;63.9832492764902
32;1.84E5;0.00E0;5.41E-6;5.00E-5;0.00E0;0.00E0;4;0;3022.66803898762;-619.014386443146;0;241.659610574829;25;340.288560225821
34;1.77E4;0.00E0;2.99E-6;5.00E-5;0.00E0;0.00E0;4;0;4234.29385289446;-284.281815676333;0;33.6585866091975;23;235.625749199885
37;3.29E4;0.00E0;1.42E-6;5.00E-5;0.00E0;0.00E0;4;0;6697.30428992807;1748.18934726147;0;111.000878667135;235;132.504540927007
38;1.36E5;0.00E0;5.77E-6;5.00E-5;0.00E0;0.00E0;4;0;8523.09543004938;-1401.49952109991;0;203.177655527923;106;298.95424315695
41;1.11E5;0.00E0;5.24E-6;5.00E-5;0.00E0;0.00E0;4;0;9016.13067990709;2006.53668660956;0;190.61819699804;207;261.409188820545
44;4.53E4;0.00E0;4.81E-7;5.00E-5;0.00E0;0.00E0;4;0;8730.22554273424;958.489122602201;0;252.203141623086;99;80.3495962439501
49;4.48E4;0.00E0;7.93E-7;5.00E-5;0.00E0;0.00E0;4;0;3340.37164358788;354.192307752463;0;141.89074186375;14;141.215510570272
57;9.38E4;0.00E0;2.18E-6;5.00E-5;0.00E0;0.00E0;4;0;8718.72678037835;210.168350686213;0;284.63492708332;104;147.268812774882
60;7.60E4;0.00E0;8.65E-6;5.00E-5;0.00E0;0.00E0;4;0;6929.02946673916;-894.964135069102;0;183.218032509781;166;185.393193685166
65;2.35E4;0.00E0;1.37E-6;5.00E-5;0.00E0;0.00E0;4;0;4630.46162247375;-1799.89338188632;0;138.020956674609;178;76.1233398991378
70;8.71E4;0.00E0;3.90E-6;5.00E-5;0.00E0;0.00E0;4;0;6989.68638583327;839.237757946757;0;384.551109709525;197;101.225417235264
73;2.09E4;0.00E0;1.25E-6;5.00E-5;0.00E0;0.00E0;4;0;5212.45108054202;-1597.9920232959;0;123.719497901046;174;75.4736653597382
78;6.95E4;0.00E0;2.78E-6;5.00E-5;0.00E0;0.00E0;4;0;8784.15712389891;-408.463727087182;0;266.083959807975;104;116.807361696989
80;5.09E4;0.00E0;1.83E-6;5.00E-5;0.00E0;0.00E0;4;0;5487.84276110088;-770.42674377692;0;289.05793587796;182;78.6660229055362
81;3.72E4;0.00E0;4.01E-6;5.00E-5;0.00E0;0.00E0;4;0;2774.31727810287;134.3842014661;0;236.041021802884;14;70.4056379191344
83;4.33E4;0.00E0;1.46E-6;5.00E-5;0.00E0;0.00E0;4;0;5598.39526427252;-1076.70089834421;0;160.00249792816;182;121.087394768398
87;4.28E4;0.00E0;7.20E-7;5.00E-5;0.00E0;0.00E0;4;0;4053.91695096409;357.417149750991;0;129.498818734406;21;147.786428262919
88;2.15E4;0.00E0;1.10E-6;5.00E-5;0.00E0;0.00E0;4;0;6351.54914747692;1608.87522216536;0;115.102587443534;236;83.5765682331185
89;8.50E4;0.00E0;2.41E-6;5.00E-5;0.00E0;0.00E0;4;0;962.921500685809;384.476595576891;0;513.720602307328;8;73.9298105058439
91;6.80E4;0.00E0;2.94E-6;5.00E-5;0.00E0;0.00E0;4;0;8282.24706661595;-615.749194357611;0;106.570506802613;188;285.124732348296
93;4.84E4;0.00E0;4.12E-6;5.00E-5;0.00E0;0.00E0;4;0;6239.15670547757;1331.87803002237;0;259.82526165006;200;83.2285315687569
97;4.87E4;0.00E0;3.13E-6;5.00E-5;0.00E0;0.00E0;4;0;3856.23237789222;-1609.92230282459;0;247.291586494009;179;87.9799427017548
98;5.66E4;0.00E0;1.93E-6;5.00E-5;0.00E0;0.00E0;4;0;8410.01430636155;-271.509926374957;0;86.1848606201899;104;293.392260408848
102;5.56E4;0.00E0;4.90E-6;5.00E-5;0.00E0;0.00E0;4;0;3062.57152327618;307.194259510748;0;74.2876888055327;14;334.340983793777
104;3.11E4;0.00E0;1.64E-6;5.00E-5;0.00E0;0.00E0;4;0;5677.37821764539;-47.2297987824422;0;82.9815240558267;194;167.587126606374
105;4.24E4;0.00E0;2.18E-6;5.00E-5;0.00E0;0.00E0;4;0;6752.61119162481;-2265.72208248922;0;65.9395031430098;151;287.468761617999
109;2.46E4;0.00E0;1.92E-6;5.00E-5;0.00E0;0.00E0;4;0;8244.28065545473;-3250.02013475188;0;137.575219496161;122;80.0714627235112
110;3.14E4;0.00E0;2.05E-6;5.00E-5;0.00E0;0.00E0;4;0;3108.6718535871;1633.66042675882;0;196.256596352101;32;71.4438970511416
112;9.32E4;0.00E0;1.72E-6;5.00E-5;0.00E0;0.00E0;4;0;-381.621198021876;-479.58367253839;0;611.971399930537;1;68.1039339394662
115;3.78E4;0.00E0;1.94E-6;5.00E-5;0.00E0;0.00E0;4;0;1951.87145473591;556.193575547914;0;87.9228243934111;10;192.296189250042
116;2.39E4;0.00E0;1.82E-6;5.00E-5;0.00E0;0.00E0;4;0;5862.68440513413;3032.54520023994;0;105.010606619143;39;101.624279018543
117;3.28E4;0.00E0;3.52E-6;5.00E-5;0.00E0;0.00E0;4;0;2195.06807333163;870.941918875345;0;53.1732508874945;10;276.042064464674
119;2.42E4;0.00E0;3.03E-6;5.00E-5;0.00E0;0.00E0;4;0;7217.8754030938;-2345.38781284251;0;100.401519406351;151;107.713992205149
122;3.07E4;0.00E0;1.81E-6;5.00E-5;0.00E0;0.00E0;4;0;8827.23660228341;-3543.78784054526;0;78.5803393027168;123;174.3862583022
123;4.61E4;0.00E0;2.73E-6;5.00E-5;0.00E0;0.00E0;4;0;4254.53807886039;1726.00454339646;0;211.727908879546;34;97.3178948158018
124;3.16E4;0.00E0;2.10E-6;5.00E-5;0.00E0;0.00E0;4;0;4338.50391271989;963.650752888646;0;87.0521101470156;20;162.274499220139
126;1.08E5;0.00E0;2.22E-6;5.00E-5;0.00E0;0.00E0;4;0;6844.23711866127;340.511127429137;0;151.542473136654;196;318.893982116867
127;5.06E4;0.00E0;1.56E-6;5.00E-5;0.00E0;0.00E0;4;0;5235.31472453791;1448.36543913929;0;150.383713156283;202;150.486442549996
141;9.94E4;0.00E0;8.70E-7;5.00E-5;0.00E0;0.00E0;4;0;2525.63594326429;-866.753354897326;0;403.669395259704;26;110.061298748073
144;1.77E4;0.00E0;1.08E-6;5.00E-5;0.00E0;0.00E0;4;0;6668.73412730927;2036.64798193623;0;45.3532978025528;233;174.049714663735
147;4.31E4;0.00E0;1.22E-6;5.00E-5;0.00E0;0.00E0;4;0;1550.9455126498;88.4009397998479;0;107.458213938534;9;179.185721638214
