Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
1;2.48E4;0.00E0;9.03E-7;5.00E-5;0.00E0;0.00E0;4;0;2190.47572489283;-13207.8947298541;0;608.370978191917;104;60.1130995981943
15;1.96E4;0.00E0;7.15E-7;5.00E-5;0.00E0;0.00E0;4;0;462.931449903525;-2603.38449075657;0;77.0199913024133;21;113.791277084543
16;1.33E5;0.00E0;1.39E-6;5.00E-5;0.00E0;0.00E0;4;0;3965.34418551771;-13026.1428455819;0;1376.40584840926;104;142.469316523938
18;8.28E4;0.00E0;1.01E-5;5.00E-5;0.00E0;0.00E0;4;0;2050.90054624189;-13938.5328153259;0;1319.20764774588;104;92.7392264532525
31;3.45E4;0.00E0;2.15E-7;5.00E-5;0.00E0;0.00E0;4;0;3169.37014963254;-11062.5927341132;0;132.9106366198;120;115.875039104248
34;2.47E4;0.00E0;7.19E-7;5.00E-5;0.00E0;0.00E0;4;0;1808.3504081807;-12799.1364202454;0;430.617867395296;104;84.7127864803581
42;2.21E4;0.00E0;8.78E-7;5.00E-5;0.00E0;0.00E0;4;0;3606.76061028455;-15318.8192551006;0;142.780342161422;187;69.2018641579204
48;8.95E4;0.00E0;8.26E-6;5.00E-5;0.00E0;0.00E0;4;0;771.081945321011;-12722.4419628296;0;809.93064413487;103;163.228983105494
49;7.19E4;0.00E0;1.87E-6;5.00E-5;0.00E0;0.00E0;4;0;1264.52517485542;-5877.22826665565;0;225.503803144379;45;142.493078964114
65;3.93E4;0.00E0;1.61E-6;5.00E-5;0.00E0;0.00E0;4;0;1578.99462988265;-13174.6208747149;0;870.002118154715;104;66.8100338476575
74;6.00E4;0.00E0;1.93E-6;5.00E-5;0.00E0;0.00E0;4;0;3884.65913185593;-11994.6705018831;0;1185.93081279914;196;74.7631287626524
83;5.15E4;0.00E0;9.44E-7;5.00E-5;0.00E0;0.00E0;4;0;1274.39870789471;-4688.26706694878;0;356.048284300786;36;64.7231739128099
85;9.07E4;0.00E0;1.46E-6;5.00E-5;0.00E0;0.00E0;4;0;1298.50530778632;-14507.0264259904;0;2175.41267416897;104;61.5629992629917
86;3.71E4;0.00E0;3.01E-6;5.00E-5;0.00E0;0.00E0;4;0;975.345996494016;-8932.84457126167;0;117.947954148953;71;140.641704088124
87;3.66E4;0.00E0;1.52E-6;5.00E-5;0.00E0;0.00E0;4;0;2594.5820936935;-12955.9291428733;0;209.983536292965;104;257.6387096141
93;3.70E4;0.00E0;2.45E-6;5.00E-5;0.00E0;0.00E0;4;0;249.907275719441;-6407.71943083167;0;244.26235800345;52;67.7816892562574
97;4.25E4;0.00E0;1.12E-6;5.00E-5;0.00E0;0.00E0;4;0;1321.68732424616;-9454.9289106727;0;59.839216715722;76;317.612286463639
103;3.80E4;0.00E0;2.76E-6;5.00E-5;0.00E0;0.00E0;4;0;1730.82573139698;-12875.6328460885;0;534.78419897113;104;105.009791474247
105;4.40E4;0.00E0;2.69E-6;5.00E-5;0.00E0;0.00E0;4;0;3035.24350380016;-11659.7569333375;0;130.074700953055;115;151.29156627495
107;4.66E4;0.00E0;1.21E-6;5.00E-5;0.00E0;0.00E0;4;0;3937.7220926916;-6850.60925349582;0;41.1529009421677;153;505.888546258519
108;1.00E5;0.00E0;1.57E-6;5.00E-5;0.00E0;0.00E0;4;0;4925.46149957892;-16140.1422228503;0;509.017078894448;193;87.8132701215181
117;6.70E4;0.00E0;1.65E-6;5.00E-5;0.00E0;0.00E0;4;0;-120.15098193769;-10784.1823168534;0;1289.61215406923;200;76.7659931160589
118;7.15E4;0.00E0;1.62E-6;5.00E-5;0.00E0;0.00E0;4;0;71.6886933043169;-3332.93938189284;0;525.988770811638;26;60.7333193087689
119;2.24E4;0.00E0;2.28E-6;5.00E-5;0.00E0;0.00E0;4;0;110.335257424113;-525.414591694516;0;99.2059453089956;5;100.802567975627
121;1.22E5;0.00E0;5.85E-6;5.00E-5;0.00E0;0.00E0;4;0;145.017324208671;-4193.96381833177;0;565.334266706177;31;96.6084482637888
129;1.06E5;0.00E0;6.35E-7;5.00E-5;0.00E0;0.00E0;4;0;1024.77757051335;-12727.3334821931;0;709.453825991848;103;220.768241338983
133;2.11E4;0.00E0;1.05E-6;5.00E-5;0.00E0;0.00E0;4;0;1467.78982270584;-11407.424772858;0;176.166039933921;200;176.701176865145
137;1.07E5;0.00E0;1.56E-6;5.00E-5;0.00E0;0.00E0;4;0;5154.99594561794;-16272.7296175984;0;773.695068709433;193;61.656297469656
138;2.25E5;0.00E0;3.46E-6;5.00E-5;0.00E0;0.00E0;4;0;893.943648427614;-1160.76174626682;0;718.316921200239;10;140.099103153345
139;3.71E4;0.00E0;2.09E-6;5.00E-5;0.00E0;0.00E0;4;0;598.389344371952;-12172.8952466939;0;381.114035842466;103;143.672384937572
143;7.93E4;0.00E0;1.51E-6;5.00E-5;0.00E0;0.00E0;4;0;1540.3123130771;-9648.61123801943;0;269.72254793556;77;131.423747805152
